194, 1313.0
195, 1181.0
196, -987.0
197, -3878.0
198, -3957.0
199, -1070.0
200, 711.0
201, -391.0
202, -1191.0
203, 244.0
204, 1590.0
205, 1142.0
206, 566.0
207, 1140.0
208, 1397.0
209, 290.0
210, -596.0
211, -180.0
212, 46.0
213, -411.0
214, 66.0
215, 1172.0
216, 1079.0
217, 440.0
218, 312.0
219, -501.0
220, -2023.0
221, -2077.0
222, -576.0
223, 179.0
224, -588.0
225, -665.0
226, 1944.0
227, 4485.0
228, 2240.0
229, -2065.0
230, -829.0
231, 3642.0
232, 2251.0
233, -3138.0
234, -2943.0
