Density,Sonic,Gamma
1407.6663,512.016,24.529
1417.8751,512.0087,24.2456
1440.3613,512.0013,24.408
1474.1023,511.9939,24.9883
1494.5116,511.9864,26.2537
1473.8922,511.9791,28.4402
1425.687,511.9717,29.5368
1401.6676,511.9645,30.8233
1393.6559,511.9571,30.8534
1391.7278,511.9496,30.9947
1411.1492,511.9423,31.1019
1502.8778,511.9348,31.2128
1602.3615,511.9274,31.8589
1652.5348,511.92,32.3751
1709.6366,511.9126,33.3604
1728.0651,511.9055,33.3604
1717.5801,511.898,33.2968
1665.3573,511.8906,32.5543
1627.0103,511.8831,32.3808
1595.7203,511.8758,32.2167
1508.8643,511.8683,29.7974
1469.5001,511.8609,28.0266
1470.2,511.8537,25.6682
1467.5358,511.8462,24.1049
1455.8979,511.8389,23.3707
1450.6377,511.8314,21.382
1456.5597,511.824,21.0671
1455.8037,511.8165,20.8694
1427.498,511.8094,20.8536
1418.8365,511.802,21.029
1420.8077,511.7946,21.6651
1449.5306,511.7872,22.8442
1474.73,511.7798,26.3976
1472.564,511.7723,30.3336
1475.5757,511.7649,33.6052
1473.5062,511.7575,34.8406
1479.7378,511.7503,35.2169
1497.3826,511.7429,35.0682
1473.179,511.7355,34.4207
1429.7239,511.7281,33.5067
1406.6854,511.7207,30.8751
1420.8071,511.7132,29.614
1464.8126,511.706,29.2818
1527.3712,511.6987,29.1904
1564.5588,511.6913,28.901
1570.6899,511.6839,28.7429
1551.5461,511.6765,29.3505
1540.5201,511.669,29.8739
1550.0123,511.6616,31.4705
1581.1486,511.6542,33.569
1611.0128,511.6468,34.6777
1643.4746,511.6395,34.9845
1709.2052,511.6322,35.1299
1748.6714,511.6248,35.2205
1738.4725,511.6174,35.2205
1715.6018,511.61,32.8487
1682.4248,511.6025,29.7292
1646.7693,511.5952,28.4003
1600.197,511.588,26.4622
1542.8269,511.5806,25.1381
1529.6033,511.5732,25.1381
1563.1899,511.5657,25.8594
1566.5083,511.5583,27.6599
1549.9896,511.5508,28.7456
1559.3983,511.5436,28.8143
1577.6484,511.5364,28.7814
1585.6569,511.529,27.7536
1526.6331,511.5215,25.0447
1482.4878,511.514,23.8058
1502.9481,511.5067,23.29
1531.1473,511.4992,23.29
1549.2396,511.4919,23.2767
1566.7023,511.4847,22.957
1576.5646,511.4772,21.7627
1580.3335,511.4698,21.2704
1566.3353,511.4624,21.2704
1507.2086,511.455,21.34
1470.6323,511.4476,21.8096
1481.7676,511.4402,21.9707
1517.5371,511.4328,22.322
1588.9481,511.4256,23.1291
1700.2793,511.4182,23.1291
1685.2156,511.4108,23.0224
1585.3663,511.5796,20.4499
1510.7556,518.0754,19.8107
1459.8,528.0613,19.7034
1520.7878,533.324,18.8498
1565.4965,543.0056,18.844
1647.4463,538.9119,18.3618
1711.6725,528.1794,18.3418
1775.061,518.8152,18.3418
1789.7554,518.7726,19.305
1809.4653,524.7291,19.3964
1834.0562,531.0826,19.3964
1872.1161,544.1291,18.1856
1912.7268,543.9859,17.9994
1933.5178,539.5157,17.9994
1934.6918,533.488,18.1601
1942.222,527.557,19.6229
1941.8397,526.0316,20.819
1915.7478,526.1675,21.2203
1877.2589,526.1,22.5356
1853.6309,526.0891,22.5828
1852.7323,525.8198,21.6025
1858.7529,524.559,21.2731
1867.8101,522.2221,21.0987
1881.8729,521.6295,19.3145
1878.8657,523.9995,18.2267
1873.0278,527.7886,17.8153
1839.1127,532.339,17.2949
1757.7578,536.373,16.5791
1697.3882,536.946,16.2568
1621.3992,536.6252,16.2568
1545.5015,536.2786,16.9936
1513.8995,535.3451,17.811
1514.0532,534.3837,18.1358
1536.3188,533.1246,18.316
1567.5352,531.5591,18.4638
1593.0271,528.9647,18.5512
1611.7614,528.53,18.5512
1619.0525,531.5736,17.1465
1593.1622,536.5176,15.4059
1545.3717,544.8717,15.4059
1519.7201,553.2816,16.3645
1533.3221,556.5632,17.9407
1560.4359,553.5914,18.1983
1608.3054,547.1237,19.024
1696.877,537.5469,20.5588
1765.4023,525.9088,20.8512
1798.6273,520.5602,20.7166
1790.318,521.4045,20.3517
1811.308,524.295,19.9629
1863.2744,530.1575,18.8495
1876.3929,532.8683,17.3829
1884.5321,534.0624,17.2352
1883.7419,530.5056,17.2754
1879.6655,522.6743,17.5279
1864.5885,517.6447,18.0569
1823.8024,515.4453,18.6213
1775.7876,518.1151,18.6213
1714.2653,522.4036,18.561
1646.2062,523.7198,18.0756
1538.9291,523.0989,17.5126
1511.2845,523.3985,17.2522
1491.2531,524.9315,16.4766
1484.0425,524.4956,17.4463
1434.0983,523.6953,17.4463
1385.1443,522.3966,17.4764
1388.3999,524.084,19.6901
1427.8999,527.9741,19.6901
1578.5806,534.1062,19.6901
1658.7043,533.6191,18.7269
1720.1299,526.3748,17.8291
1713.1051,518.119,15.5874
1663.4537,522.08,15.1216
1591.2041,537.3055,14.9622
1525.3232,546.2449,14.9485
1484.7837,554.0907,14.9485
1446.201,550.3212,15.3456
1427.9669,536.3496,15.5354
1454.5328,525.6337,15.7729
1471.5718,514.7859,15.8178
1503.7971,513.7111,15.4972
1529.287,519.5275,15.3065
1563.5367,526.541,14.7232
1580.0923,531.8741,14.2092
1584.1262,532.4933,14.4247
1577.7074,529.1112,14.549
1549.5914,529.098,14.5515
1532.8226,527.0483,14.9126
1558.3362,523.0163,15.4235
1574.5341,522.0728,15.5943
1546.8726,523.2265,15.5943
1511.1223,524.9806,15.5803
1465.3799,526.7975,15.5714
1433.2769,527.8003,15.5714
1429.8436,526.7299,15.5645
1448.1721,520.2206,15.2579
1467.9951,510.2023,14.9572
1476.6962,501.9402,14.9069
1492.7798,497.0225,14.9069
1513.599,497.1477,15.5167
1532.526,501.6524,16.8103
1557.2808,510.204,18.7609
1587.4268,519.3176,20.2395
1624.4208,524.7383,20.2395
1648.5881,528.0094,20.1795
1643.3188,526.4152,19.5362
1617.2993,523.077,17.7978
1581.0693,521.9379,16.1683
1560.7676,524.8362,15.8944
1546.3944,527.929,15.6823
1535.9987,532.4866,15.2047
1530.2914,535.1744,14.9173
1537.1322,533.1021,14.6176
1531.4463,529.0604,14.6176
1529.5402,524.1937,15.189
1537.5768,516.913,17.0575
1531.8015,509.3208,17.4805
1507.3201,506.1046,17.786
1491.196,508.5122,18.7934
