Density,Sonic,Gamma
2002.0121,516.7741,62.6038
2006.4581,513.5844,63.4566
1997.4711,519.3736,66.8192
2040.9536,525.9556,70.7478
2065.6335,527.7732,70.7478
2093.6799,529.2294,70.6845
2110.6333,525.6755,69.7464
2079.7114,510.9659,67.3371
2084.7141,512.1401,67.3371
2081.6399,516.6375,67.3539
2087.3999,518.809,69.7602
2062.8608,519.4335,70.0254
2056.3718,520.1777,70.0271
2040.7419,521.4727,70.0271
2048.0522,523.0416,69.7744
2055.9172,521.6374,69.7586
2072.0269,520.6795,69.7585
2098.0676,517.662,70.7412
2094.312,520.8273,72.9106
2070.7722,524.6165,73.7416
2052.2239,531.139,73.9665
2070.5903,535.3014,74.3103
2074.1492,538.1709,75.8887
2076.4795,538.3394,77.4892
2089.532,537.1675,77.8029
2091.4431,535.4855,77.8029
2096.1235,532.1427,77.7702
2092.1528,531.3285,77.4157
2092.2605,531.6963,73.4946
2097.7666,531.2769,71.4013
2105.6084,530.77,70.7011
2107.1555,530.8588,69.7288
2084.4414,531.6331,66.7297
2054.7173,532.8651,64.9727
2049.3647,534.8563,64.767
2071.6189,535.7466,65.1137
2082.0632,532.9778,66.3265
2073.2024,528.6421,68.0209
2059.689,525.2565,68.778
2061.1646,522.2539,68.778
2072.6072,522.5975,66.6574
2081.2588,527.541,63.7802
2079.7246,530.9733,62.8568
2079.3806,531.45,62.637
2089.4434,528.5648,62.3989
2095.8748,525.0699,61.454
2105.5498,526.0789,59.0014
2115.2209,526.2641,56.6875
2109.6011,523.9343,55.6413
2097.4863,522.2186,55.4301
2089.1133,521.7235,55.5591
2083.822,523.4979,56.5735
2075.7666,525.3659,58.8328
2073.9873,524.4722,60.457
2066.0771,522.0605,60.457
2050.5691,517.4237,60.5361
2035.0587,512.4415,60.7327
2015.0077,511.2166,60.8142
2006.6368,511.1979,61.5059
2033.6536,512.826,63.0521
2063.0764,513.6528,63.4469
2061.6943,512.9974,63.4469
2066.5811,513.2109,63.4469
2062.6487,514.6796,63.4469
2064.3391,519.931,63.4415
2060.1455,529.2081,63.4102
2060.1743,536.8561,63.1308
2078.6892,536.466,60.6871
2071.2649,532.87,58.1385
2076.8821,516.9189,58.0621
2082.1948,511.3886,57.62
2110.2659,518.0344,57.62
2100.4004,525.0218,57.62
2078.3999,528.9114,57.62
2082.5,528.706,58.0467
2070.459,524.6318,58.0467
2082.5764,519.5057,58.558
2098.0669,513.4765,58.5756
2107.6663,511.5498,58.2431
2103.2383,510.3503,58.2193
2087.6565,510.701,58.5424
2086.6321,512.7239,58.8443
2089.3203,515.5092,58.8786
2094.4797,514.2874,58.8786
2101.9368,512.6005,58.2242
2095.5913,511.6761,58.0753
2092.467,510.8596,57.4574
2119.5603,511.9256,57.3106
2125.772,513.5036,57.3106
2114.0945,513.5224,57.9749
2111.6204,510.8415,58.1842
2116.2869,510.6817,58.1842
2125.5339,513.2444,57.3432
2114.2498,515.4706,56.0535
2109.3284,517.5963,55.6322
2105.8643,519.5184,55.3307
2092.8679,518.6968,55.1802
2097.1594,515.2933,55.3454
2106.9653,516.7051,56.4387
2101.5388,516.8865,57.0671
2097.9434,516.1172,58.4501
2103.8606,515.5051,61.9482
2108.1643,512.3154,65.2975
2108.8599,509.9289,66.4421
2100.1543,509.3235,66.4421
2098.5366,508.8317,66.4421
2106.9453,508.566,66.4421
2110.52,508.5943,66.8358
2110.9204,508.3675,67.2738
2104.9221,507.7157,67.2738
2094.3184,506.4056,66.6837
2084.9302,505.0955,65.5341
2083.0403,505.8235,65.0128
2084.6711,508.8969,64.834
2078.4326,513.8054,64.3796
2074.4629,518.1759,63.5182
2080.8657,522.454,61.8509
2089.3137,525.97,59.4695
2089.0081,528.4271,55.663
2094.7568,529.6959,52.377
2083.8359,530.3269,50.4394
2065.4875,530.8011,48.8323
2035.0181,531.9813,47.3008
2019.1516,530.9723,46.6067
1971.8025,530.8024,46.4735
1890.7648,531.6746,46.0654
1913.7028,529.3108,46.6353
1929.9879,517.3557,46.8322
1931.1731,509.1153,47.6888
1988.2731,509.3007,51.9032
2039.0764,512.3328,56.6639
2103.5967,533.6985,60.711
2150.4839,540.9329,62.4564
2159.5686,549.2729,62.8784
2144.8201,559.4418,64.6171
2144.8647,564.0812,65.5953
2129.114,561.4343,64.5625
2131.0999,552.3786,62.7829
2119.8735,542.1271,61.2025
2102.1787,527.9176,54.954
2089.3145,511.5592,51.6307
2076.7769,500.3117,47.1053
1990.1913,504.5314,46.49
1991.7114,509.8492,46.1731
2036.8131,512.2008,45.0038
2039.2828,517.549,44.8675
2064.7356,517.0917,44.4706
2067.7686,513.442,42.1639
2056.3518,514.5721,41.7581
1979.3239,521.3392,41.7581
1978.4434,527.8756,42.4862
1982.264,539.4733,43.5307
1984.9604,547.6751,43.8242
1993.636,544.3827,43.8423
2034.4166,541.2474,43.7852
2009.8312,539.6692,43.7645
1962.8171,542.0012,43.6394
1954.79,546.2443,43.5875
1956.1227,561.0244,43.7854
1978.1415,566.2418,43.8814
1994.0052,565.8104,43.9638
1995.4476,564.5203,44.2345
1982.924,563.9657,45.4213
1954.2063,565.9342,46.2629
1888.7889,570.6822,47.9839
1858.1364,574.8576,49.8995
1888.6147,572.6761,50.4893
1925.4264,570.4328,50.5111
1937.0708,565.3383,50.5111
1930.3015,558.6116,50.2027
1937.4901,559.1561,48.9148
1958.6062,563.742,47.4255
1953.974,565.2197,46.5569
1904.304,559.4385,46.017
1855.9283,546.1671,45.6068
1830.517,531.8483,45.1107
1787.53,528.6061,43.6809
1756.1335,533.097,41.4761
1762.4111,538.7318,41.2875
1767.8665,542.6324,41.3868
1764.293,540.345,41.7686
1756.6877,535.7512,42.1829
1755.2034,534.4623,42.999
1759.6879,539.5481,45.3024
1773.1433,546.9275,46.4124
1794.5487,553.5098,46.4124
1793.6193,555.8811,46.4124
1766.7863,552.6149,46.4124
1710.3068,545.2143,46.5445
1634.1307,542.7289,47.226
1627.1602,538.6812,48.0279
1702.2637,529.5202,49.0623
1753.6807,520.4597,49.862
1805.0162,511.5309,51.0036
1804.8492,515.1532,51.3625
1829.1418,524.2209,52.4597
1883.3359,532.0024,54.3142
1929.0072,540.3126,59.703
1937.2632,539.8325,59.703
1936.0493,538.764,59.6998
1925.3,543.6034,59.4736
1895.7,550.6479,57.8395
1901.918,549.5013,57.2965
1905.0931,545.2362,57.8211
1915.5945,534.1101,59.3978
1927.7708,524.3948,59.5563
1911.5752,509.6297,60.1979
1918.2612,503.6456,62.4369
1932.4861,500.284,64.1195
1945.9919,502.2244,65.6151
1947.3585,511.3772,65.9613
1910.7551,519.262,65.9882
1909.5891,529.2892,65.8632
1931.0496,530.972,65.8371
1950.8146,529.4287,67.376
1985.4935,519.6743,67.7769
2026.0387,511.7823,67.4541
2030.0999,510.7213,67.5717
2049.2441,508.616,67.6461
2054.988,504.3209,67.6461
2048.7598,498.8185,67.6461
2044.9034,493.2142,68.3263
2036.9332,491.9955,68.646
2043.1969,495.0214,69.4181
2063.9927,497.4675,70.9256
2077.8716,498.1689,70.5018
2088.2009,497.9554,69.7967
2081.7317,497.5941,69.8101
2076.5203,497.3689,69.7991
2078.2678,497.2762,69.7259
2069.5161,499.2672,66.98
2041.8065,502.2936,64.6094
2010.9894,504.945,64.0309
1988.2521,508.8241,63.0391
1947.7657,511.8653,62.5869
1854.0737,511.1108,61.2663
1709.2046,507.4261,58.8973
1606.1929,503.2346,55.7408
1584.4503,499.9312,52.6155
1599.0934,498.0512,52.0566
1644.9736,499.1552,51.6781
1667.788,501.5593,51.9027
1669.2313,503.043,52.5709
1679.0963,503.3541,54.5152
1706.0676,505.2073,57.4857
1750.9622,508.2265,59.0054
1784.998,509.9427,62.9088
1837.1674,508.7555,63.8599
1904.6068,505.0563,64.5759
1957.9629,500.3793,64.9608
2011.9141,496.2115,65.7207
2071.7837,497.2867,67.5314
2094.4077,500.5341,68.8431
2114.7834,507.1347,70.0528
2110.8169,514.8032,70.0528
2092.9075,518.8248,69.7583
2092.3821,518.4149,67.8466
2055.5332,515.9047,67.6003
2061.4299,510.3516,65.537
2076.2864,510.8453,65.6453
2073.0562,510.431,67.0536
2064.27,510.8452,67.8761
2085.8704,515.1266,67.8961
2117.364,517.249,68.6199
2112.2,516.7385,68.6199
2095.708,519.9423,67.8809
2068.6323,519.3886,67.447
2019.0302,521.2388,66.553
1940.033,525.1078,66.0313
1877.4989,525.0259,66.004
1759.4165,523.7202,66.4721
1761.4757,520.7301,67.3815
1827.441,518.798,74.5845
1992.9604,517.2657,77.0117
2062.4163,517.6215,77.5926
2111.4434,520.3502,77.8527
2126.1875,521.0789,77.9227
2125.6194,521.0212,77.9298
2120.3003,529.4449,77.9298
2114.1687,537.6874,77.7895
2107.5745,537.6114,76.4743
2090.3496,533.8536,72.2753
2064.4685,524.7667,62.1175
1959.5739,513.6256,52.6423
1782.4332,512.2405,46.2556
1602.3246,517.314,40.8572
1515.5713,519.1543,38.2206
1522.7195,517.4046,37.7557
1576.5121,511.5262,37.7557
1646.1213,501.5068,38.2126
1735.5714,485.5605,39.8441
1824.0104,479.8867,41.708
1884.4695,496.2758,42.4131
1907.6261,521.6908,42.4131
1899.1835,544.7762,42.7607
1892.59,577.0193,42.689
1901.4752,600.8195,42.2688
1918.298,606.574,42.2107
1918.0674,607.8884,41.4582
1869.5488,606.7542,40.2479
1801.3429,608.6083,38.3439
1717.6893,614.7957,36.4213
1628.1564,621.1252,36.4213
1593.7394,620.4517,36.9204
1580.6459,615.702,38.259
1577.4437,604.1718,39.452
1578.0695,595.2086,39.9057
1591.6219,598.4641,39.9057
1636.4061,607.9667,39.6028
1745.5244,620.8068,38.8497
1858.8505,627.5147,38.5521
1898.4379,631.5037,38.3235
1899.111,635.9338,38.6538
1880.6031,637.0305,38.6793
1834.326,634.1915,38.9916
1813.876,631.4402,40.22
1825.645,626.5288,40.3551
1860.6187,627.9559,40.3283
1885.5029,627.1004,40.1336
1897.8812,623.3923,39.8196
1893.1718,618.3832,39.8196
1874.9513,612.195,39.9231
1833.9498,610.5465,40.9422
1799.2308,616.6706,41.1939
1752.3689,636.5294,42.1219
1700.0724,636.4419,42.7684
1679.09,636.0414,42.7684
1685.7001,630.4813,42.7684
1737.5,621.434,42.7684
1764.0498,616.7019,42.7684
1797.4725,614.5147,41.2222
1825.8737,609.5568,38.5315
1821.4114,605.8661,38.0966
1803.7067,606.6235,36.9531
1811.5404,606.7065,36.8554
1823.4971,606.8143,36.8554
1826.647,601.7454,37.2651
1858.5641,601.5051,38.453
1905.7537,602.6131,38.7392
1949.4956,606.0524,39.5479
1995.74,612.3314,41.4856
1992.9414,611.7682,41.9092
1991.7343,603.7303,41.9092
2026.4225,599.6323,41.3927
2005.6041,596.119,41.2296
2001.5148,596.6802,41.2296
2005.9268,594.8962,41.2296
2002.1227,588.2019,41.2296
1974.5234,579.5438,38.5694
1945.8966,573.4695,37.3189
1931.4561,573.4673,37.3189
1953.4376,582.2864,37.759
1981.2257,585.3161,38.0915
2019.384,580.3046,38.6761
2035.1906,570.7761,39.033
2006.277,556.0198,40.5558
1992.5416,549.3554,42.176
2015.6417,551.6923,42.5451
1987.2537,558.5023,42.5451
1921.5105,568.3763,42.1099
1881.5773,574.8446,40.2944
1851.8824,574.541,37.7106
1827.0078,570.1874,35.3808
1818.4738,567.8165,34.0675
1829.332,566.7101,34.0675
1838.8059,562.0547,34.5541
1827.8208,557.1874,36.5075
1791.8451,554.8049,39.0759
1760.8114,550.6843,41.1924
1749.8708,552.747,43.0397
1708.0424,561.7776,43.0802
1632.6173,572.7576,43.823
1647.9128,588.1292,46.1522
1702.8596,589.361,48.4889
1794.5022,583.2413,50.8121
1886.395,568.9395,53.0154
1938.0233,559.3531,54.0867
1937.3323,560.3859,54.0867
1949.1118,560.0027,53.2968
2004.1313,557.6212,50.1403
1981.0063,552.0862,50.1403
1941.5602,547.6555,50.4044
1965.536,542.2944,51.9001
2017.7523,533.976,52.2287
2033.3053,529.6177,53.2643
2000.5833,527.3486,57.1602
2001.1276,522.438,60.1105
2032.5305,531.8707,61.0352
1958.5,537.5393,63.013
1959.276,543.1295,65.0847
1987.6104,552.8816,66.4378
2017.8,562.2592,67.881
2051.7773,560.7862,67.881
2048.2048,551.4946,67.881
2038.6908,553.1691,66.7951
2007.8984,560.1677,66.2598
1948.1843,567.7947,66.0797
1951.8235,576.9952,66.0676
1986.1028,576.0082,66.0676
2029.8752,569.3104,68.2198
2049.4307,556.0784,69.7531
2044.8271,537.2028,70.3222
2028.3463,534.655,70.3908
2012.1251,540.2249,71.4996
1965.3265,563.0184,75.1585
1967.3878,574.9661,76.0083
1993.2928,570.7814,76.0083
2049.4448,551.0821,74.5157
2118.707,531.022,73.8423
2136.1279,518.1187,73.0444
2131.4412,512.0431,72.7603
2112.0134,522.3297,71.8025
2080.8633,534.6985,69.5782
2043.2383,537.3701,68.2226
2007.5559,533.0611,67.839
1965.9413,527.6715,67.3097
1959.3259,521.7915,67.4811
1966.0439,517.4169,67.8843
1962.7046,514.7628,69.3877
1963.201,509.2487,71.3552
1972.8394,506.7652,72.3624
1988.3253,513.8931,72.607
2000.8091,530.2928,72.607
2042.5507,547.7131,72.5274
2078.7598,560.3594,72.4457
2070.9983,566.7933,72.4457
2059.6375,569.8229,73.3276
2061.5591,570.6111,74.4199
2055.2129,567.6234,74.4199
2033.4034,563.4604,73.7031
2047.5197,551.186,72.6294
2058.8586,538.5929,72.6294
2055.9526,538.3657,74.4406
2052.2307,542.9875,78.9386
2049.4783,548.1803,81.9044
2057.3772,552.6412,83.187
2053.8589,547.6776,83.187
2040.6034,535.1942,82.6805
2022.922,532.7652,81.2011
2002.7479,537.0363,80.806
1975.3721,535.1755,80.806
1979.0334,532.2163,81.0346
1986.4261,529.5775,82.21
1977.1008,525.9623,83.5358
1995.4351,522.7871,83.9713
2002.8981,526.235,84.4129
1993.3013,528.107,84.4129
1964.4414,533.9645,84.3354
1911.2275,542.1185,83.7296
1916.8605,545.1755,83.7241
1946.7487,553.8345,83.7245
1969.5614,549.4022,83.8394
1965.3541,532.9285,86.1662
1984.8223,523.4992,89.1448
2023.2086,516.8083,92.7071
2044.1001,509.4951,92.7071
2055.1497,516.2995,92.7071
2065.5508,534.463,92.3362
2074.5742,546.678,92.1901
2068.2776,555.0431,91.918
2062.4626,560.3978,86.5242
2045.3143,553.9481,84.8393
2029.3215,550.3672,84.7141
1989.3292,546.3262,84.7141
1973.2162,539.048,86.3434
1987.0325,535.9368,89.5489
2014.3046,536.1924,94.3307
2047.8756,539.1964,95.9277
2084.291,546.8512,98.0812
2096.4856,557.5232,98.5978
2092.7822,564.5861,98.5978
2087.0918,561.9378,97.0312
2071.4526,556.4678,96.1967
2044.7045,549.5648,95.3823
2039.7762,546.8734,95.1007
2038.4076,549.5245,94.905
2047.6023,550.7952,94.5638
2061.178,544.6099,91.2312
2066.0798,531.6774,86.4213
2053.8457,517.8945,79.8589
2052.7236,507.4536,73.6094
2058.1973,505.1371,71.459
2060.8276,512.1137,71.459
2043.3773,518.4953,72.1314
2038.5618,519.6111,73.7533
2077.5564,514.8746,74.6958
2112.3994,508.8883,74.6958
2114.6809,503.0158,71.6933
2096.8142,500.3988,68.3689
2083.3713,502.2439,68.1924
2088.0432,499.9995,68.1924
2097.7505,497.0949,69.3371
2110.4988,495.7885,72.0656
2124.3962,492.6105,73.8037
2136.8059,491.6367,73.8037
2143.2952,498.1007,72.399
2132.5754,507.6035,69.2809
2121.2834,512.7026,67.9004
2134.5049,513.6751,67.4709
2141.8389,509.3519,67.5453
2133.7998,502.6688,67.832
2127.3711,501.1305,68.2916
2115.3086,501.1193,69.0349
2102.5037,501.8064,71.0753
2105.4224,504.81,75.3522
2113.6414,505.6768,75.3522
2116.9861,504.3094,75.0362
2112.3508,501.3675,72.7151
2115.1707,498.0401,67.9983
2112.6396,498.6156,67.9983
2113.0767,501.0998,68.0482
2124.4241,503.1843,68.8742
2128.8606,504.6889,73.0967
2129.2129,502.8601,77.08
2125.3691,503.3127,77.08
2120.9858,505.9743,76.8985
2113.1025,506.8868,72.5609
2098.7012,508.0952,72.043
2098.9001,512.8569,69.6611
2088.7664,518.6279,65.5867
2082.2744,514.5616,65.5451
2078.6436,513.0225,64.1668
2066.5669,508.6955,61.9582
2053.2959,508.6771,58.5832
2045.5411,509.1917,58.0523
2063.3118,512.3105,56.0322
2063.74,514.8951,55.5536
2047.8956,514.8351,56.2586
2024.7576,516.8697,56.3719
2003.661,517.6693,56.3719
2020.8652,517.643,58.082
2036.0032,524.9861,63.3552
2046.2313,529.1562,67.0468
2065.8616,530.0291,69.407
2095.2354,531.3287,69.9206
2108.894,531.3514,69.9206
2115.7524,535.1577,70.332
2127.3562,541.2337,70.4919
2120.0691,547.7383,69.8445
2090.8481,548.842,70.1843
2073.5132,542.5043,70.5043
2066.4043,534.3707,71.3178
2068.6755,527.027,73.1125
2070.3081,520.9901,73.9108
2086.2795,517.2379,73.9108
2077.1128,516.035,73.1785
2063.0325,515.9852,72.6339
2073.8389,515.9014,71.8834
2077.6799,519.1887,71.2609
2063.1721,523.5864,68.0985
2047.7682,522.9124,62.5933
2033.1787,521.6435,59.0612
2024.3737,519.6028,58.0219
2034.0874,514.5841,58.0219
2054.488,513.2652,59.9517
2076.4558,515.7913,64.3542
2092.4624,515.9732,67.8817
2099.8679,516.7208,69.5167
2097.458,525.4507,71.0591
2086.2476,533.3065,72.7604
2087.4333,539.3232,72.78
2088.9001,543.1987,73.3048
2085.77,540.1063,73.8706
2079.9619,532.8821,72.7301
2081.7585,528.0803,72.5938
2077.3127,523.1348,72.8514
2076.4285,520.2729,72.9464
2083.1921,521.4815,73.4986
2088.7573,523.4008,75.8262
2092.0188,521.8978,77.672
2087.759,518.2844,78.3891
2096.0454,518.6447,79.3495
2120.4507,519.8364,81.1532
2103.4548,521.034,81.6032
2090.1189,523.0625,81.6032
2101.6963,527.9698,81.2117
2104.1758,527.5033,77.1827
2077.707,525.2758,74.4437
2081.5312,519.7736,74.4157
2100.5474,513.2746,73.846
2101.6919,509.595,73.8452
2086.3979,511.0758,73.7865
2081,515.8832,71.7475
2079.0269,517.8091,71.7475
2071.2668,517.338,70.7542
2074.6238,514.3937,71.6998
2074.24,512.7047,72.1524
2061.5928,512.6346,72.1814
2069.115,513.2325,71.5376
2076.8291,513.8524,71.4715
2070.4473,516.2971,67.4839
2064.4495,516.3975,66.1474
2053.6875,515.2786,66.0169
2059.075,517.0469,66.0169
2070.8457,517.1301,66.4216
2087.1094,513.2021,68.844
2100.5994,512.6506,72.4453
2110.1143,513.6115,74.905
2107.0488,515.0656,75.96
2107.99,519.9843,78.6355
2100.7952,524.4562,81.9874
2089.4536,529.2744,82.9586
2075.9707,530.0104,82.9586
2072.5002,526.2839,82.5917
2078.6633,523.1635,82.4083
2079.6089,521.21,81.8628
2069.8108,520.9786,81.5475
2065.1204,523.8475,82.1958
2067.4773,528.2027,83.0825
2083.5349,531.4767,83.4032
2088.0471,532.3016,83.4032
2083.4534,531.1535,82.7367
2086.6448,530.6213,79.464
2083.4761,532.2151,76.9828
2064.4187,532.4265,76.9828
2049.1428,531.1591,77.3688
2062.1809,530.4283,78.5641
2079.6919,527.9236,80.2913
2084.7542,524.9381,82.8088
2098.1333,522.3539,85.0994
2116.4692,517.3214,85.5153
2134.5935,510.87,85.5153
2140.0078,506.3884,84.4597
2119.9409,504.7652,82.5847
2107.9851,505.9016,82.5847
2107.9705,510.5481,82.2256
2109.2693,507.2914,81.4388
2118.5359,503.3715,81.2364
2107.6096,503.5519,79.9107
2091.5674,504.1109,77.6984
2079.1377,504.1056,77.6984
2069.7312,505.0049,77.9514
2059.8613,505.812,79.6157
2065.0525,504.2533,83.4416
2070.5676,508.291,87.9225
2083.0925,505.9352,91.1099
2112.8586,505.727,93.0644
2103.7607,503.7973,93.0644
2116.5908,501.1732,92.9922
2128.4785,498.6547,91.7169
2132.2207,501.7258,84.2045
2144.0876,505.8236,78.3874
2171.0737,509.7116,76.8996
2189.3105,513.4463,76.8996
2174.9946,511.6973,76.9659
2145.5,514.4429,86.4825
2148.7783,521.0258,86.4825
2138.7725,521.5612,86.4825
2148.0054,519.6224,85.6395
2144.0452,514.3372,85.6045
2119.6943,502.8896,85.6045
2123.0061,487.1602,83.2675
2129.9324,480.0315,85.9637
2125.8601,482.6065,88.4029
2101.8787,492.9066,88.6881
2099.655,504.2697,90.007
2094.8149,511.5475,93.6809
2091.7661,512.4763,94.3667
2093.6995,513.137,94.3667
2106.417,516.9023,91.4895
2107.0161,520.6846,89.2015
2098.4395,527.8866,88.716
2098.907,533.5645,88.7073
2110.2256,534.2612,88.7328
2114.4827,534.1848,88.7427
2104.9131,535.6824,88.7812
2087.4377,537.1039,88.7988
2069.4651,540.9502,88.2131
2065.4758,544.7241,87.9028
2070.5242,545.7406,88.4645
2083.3589,545.4172,89.3343
2091.6838,544.9184,89.6813
2084.7864,546.2615,89.6813
2080.0205,548.7159,87.772
2084.7273,549.7015,82.156
2093.8032,551.3091,76.6935
2106.1338,551.9346,74.4379
2120.9883,549.5015,74.0434
2130.2642,546.7653,74.0434
2119.6172,545.3355,74.7452
2107.115,544.4111,76.5858
2118.6252,544.4329,78.5725
2138.5786,544.2812,79.8442
2146.7202,539.9298,81.8359
2131.8396,533.0007,84.0624
2108.0066,524.7768,84.6581
2108.9233,516.7937,85.687
2117.8333,514.4069,85.687
2127.9504,515.8762,86.2908
2137.2773,517.2565,87.8097
2128.1338,516.6608,88.4173
2102.6553,515.0782,88.5279
2094.0833,515.3099,88.1493
2098.8481,518.692,87.7581
2109.8621,523.069,88.4023
2115.1824,525.8544,88.8312
2116.5605,527.2563,89.7464
2109.77,527.1285,89.8179
2102.2886,528.5424,90.3054
2105.8269,529.6776,92.7494
2115.2456,528.4362,93.385
2099.2498,524.9824,93.3234
2101.4519,526.612,92.8234
2103.6675,529.8844,92.296
2099.5432,535.382,88.3476
2079.4028,541.6144,88.3476
2081.8276,543.6562,88.3715
2091.3547,541.8495,89.1058
2102.7,538.8464,92.9081
2110.7,536.4819,92.9081
2114.4504,532.6606,92.9081
2121.363,533.8493,89.2246
2135.8086,533.486,88.6677
2146.1128,533.5899,85.0138
2148.0884,540.517,83.4835
2092.8853,541.3074,83.3734
2062.4556,542.9456,84.5979
2069.0823,542.3246,85.9231
2080.145,539.0986,88.2414
2089.865,535.6749,90.5736
2103.6399,533.0389,90.9473
2109.2656,529.4172,90.9473
2102.6985,529.1476,88.774
2106.9097,530.4086,86.5437
2124.8198,531.7311,84.0842
2120.2656,533.1177,83.4629
2118.3806,534.2481,83.4629
2122.5388,535.4523,83.1729
2136.8945,536.9929,83.0564
2128.4514,538.1427,83.0564
2115.863,536.059,83.0564
2119.8215,533.5858,83.0564
2127.843,531.9825,83.8454
2124.4717,529.9918,85.3925
2119.3599,526.5745,86.0793
2121.5693,522.0996,86.5539
2123.0066,518.2845,86.8879
2115.0383,519.2603,88.0536
2112.8337,521.1408,89.9344
2127.3916,521.9492,90.7573
2132.3782,524.8376,91.5042
2127.1975,525.9913,91.5134
2127.6313,525.6832,90.0094
2128.3176,529.8785,89.1596
2131.033,533.0711,89.0704
2130.3284,530.2461,88.7276
2118.8093,527.1971,88.3836
2116.2842,524.2373,88.3836
2130.4492,519.9989,89.0567
2135.8999,517.0284,90.4232
2127.751,518.5579,90.8916
2111.1587,521.6432,90.9359
2105.4973,525.4547,90.8445
2100.6653,531.1606,90.8843
2106.157,530.7527,90.9803
2108.5271,529.5593,90.6642
2113.5029,528.1904,89.2656
2113.999,527.6486,87.1128
2078.1194,529.8717,85.0278
2086.7852,531.7623,83.8229
2109.5725,531.2182,84.1091
2093.2798,529.6293,85.0846
2078.8105,527.9127,83.7337
2126.925,525.9484,83.6847
2164.2192,527.4056,83.1348
2140.4058,532.069,81.2647
2090.2012,530.518,79.7424
2066.1465,525.9421,79.447
2095.1282,526.9177,79.447
2127.2092,524.6497,79.4484
2117.0054,520.8775,79.5006
2084.3992,520.2781,80.2198
2055.5999,515.314,80.2198
2069.7073,510.751,80.2198
2093.3601,510.6541,82.1184
2156.3113,509.6792,81.0135
2148.0127,508.7362,78.6855
2070.2026,505.1826,80.2439
2070.7673,505.4036,80.3772
2087.6602,506.5468,77.3566
2113.9856,507.8755,76.9962
2151.8052,508.3333,76.9962
2162.2664,507.1712,76.6345
2147.7024,504.3581,76.925
2137.8464,502.9948,77.979
2131.4189,502.298,79.9154
2130.5149,504.1723,80.7742
2122.2419,504.5945,84.9631
2101.5415,504.2004,89.3266
2109.9771,505.5126,91.6605
2128.7434,503.8406,92.7201
2128.5586,500.9798,93.043
2128.4297,499.5976,94.6468
2140.981,497.882,96.1419
2139.0208,495.2735,98.135
2124.2444,495.797,101.9115
2130.6133,498.7867,103.9226
2145.8889,501.9073,104.1426
2142.8682,507.1095,104.1426
2138.218,511.5828,104.1426
2127.4194,513.1605,104.1426
2112.6587,514.762,104.6842
2103.1074,514.8785,105.8711
2081.9597,512.9478,108.3993
2034.7126,511.0177,110.233
1985.887,508.3801,110.3428
1932.942,502.6035,110.8546
1869.8173,497.2565,111.3879
1825.532,493.7104,111.4768
1782.792,488.8516,112.2473
1742.7783,486.9285,116.6995
1719.9215,488.2083,122.3098
1703.4033,492.749,122.8241
1709.0496,500.9091,122.8241
1726.7404,509.2349,122.386
1747.4913,513.9171,121.4027
1757.3848,511.523,121.1731
1762.4548,506.7134,121.27
1760.2526,500.9752,121.5109
1756.1498,495.6731,121.4253
1751.8285,493.6658,120.4844
1757.3069,494.7111,118.3049
1765.1025,496.476,118.3049
1772.0946,499.6677,118.4966
1785.9243,504.5663,119.6064
1811.9601,506.0624,121.1872
1810.0979,508.5654,121.707
1808.7898,511.851,121.7437
1823.5254,512.5677,121.997
1821.4327,511.723,122.5633
1831.0554,510.3861,128.1391
1848.6597,508.0339,129.1773
1845.0472,506.0756,129.1773
1839.4297,508.8546,129.1773
1825.8594,510.3715,129.1773
1830.1001,515.6201,129.1773
1840.4,518.288,126.6367
1847.4075,517.8856,126.6367
1862.0962,516.1528,126.6367
1866.9867,514.4975,124.8023
1870.6545,512.3529,123.569
1865.7466,511.8126,123.4877
1855.3253,514.2413,124.5989
1852.1725,515.9777,124.7131
1853.9963,516.817,124.7154
1851.5688,516.0769,124.7157
1854.4604,514.5338,124.0904
1806.5536,513.5753,123.7848
1820.7639,513.5379,123.7458
1821.0466,513.7229,123.7458
1781.0693,513.8766,125.4508
1705.5828,490.5145,127.0173
1676.0391,483.1253,127.3546
1699.7844,483.1253,126.3336
1766.4163,483.1253,125.7139
1797.5612,483.1253,124.8021
1789.6002,483.1253,123.9256
1800.1666,483.1253,123.6833
1781.2256,483.1253,123.2709
1754.8447,483.1253,122.6277
1774.9213,483.1253,121.3845
1786.6394,483.1253,118.6326
1771.8729,483.1253,116.0366
1757.156,483.1253,114.8803
2081.1206,483.1253,72.5313
2338.5029,483.1253,38.5969
2340.2378,483.1253,38.5969
2346.6292,483.1253,41.1213
2300.7244,483.1253,46.1453
2166.1978,483.1253,52.6161
2003.2294,483.1253,56.8862
1899.8691,483.1253,57.1702
1872.0021,483.1253,57.2241
1882.5652,483.1253,56.9131
1892.0934,483.1253,57.0158
1890.3462,483.1253,56.9559
1876.7867,483.1253,56.2418
1864.6934,483.1253,56.0602
1878.543,483.1253,55.896
1886.1943,483.1253,55.896
1878.7625,483.1253,56.0836
1872.3319,483.1253,56.8847
1899.3678,483.1253,57.9355
1963.1724,483.1253,59.8412
2009.7322,483.1253,65.5637
2026.6122,483.1253,69.7267
2055.4797,483.1253,70.7006
2057.9548,483.1253,71.2548
2074.6504,483.1253,71.4958
2074.8623,483.1253,72.6295
2067.8152,483.1253,72.8085
